Response,Error,original_title,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
True,,Pandora,Pandora,2016,Not Rated,17 Mar 2017,136 min,"Action, Drama, Thriller",Jeong-woo Park,Jeong-woo Park,"Kim Nam-gil, Kim Joo-Hyun, Jung Jin-young",The explosion of a nuclear power plant caused by an earthquake leads to a disaster which no one other than its workers can stop from spreading further.,Korean,South Korea,12 nominations,https://m.media-amazon.com/images/M/MV5BZjRkMjAxMjgtZTUwMC00MDI0LWI3YTYtYzVjZDFkMWQ1YTkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"8,873",tt6302160,movie,N/A,N/A,N/A,N/A,
True,,Nightmare Teacher,Nightmare Teacher,2016,N/A,14 Mar 2016,15 min,"Drama, Horror, Mystery",N/A,N/A,"Uhm Ki-joon, Seo Shin-ae, Kim So-hyun","Mysterious things start to happen to an ordinary school, as seen by the students dreams happen in reality.",Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BNTFlNjEzZjAtZjk1NS00OWY4LWJhYjMtZTgxNDNlYzhmNDZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,587,tt6209442,series,,,,,1
True,,Keith Richards: Under the Influence,Keith Richards: Under the Influence,2015,TV-PG,18 Sep 2015,81 min,"Documentary, Music",Morgan Neville,N/A,"Keith Richards, Anthony DeCurtis, Steve Jordan","A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMTc2MDE0ODg3MV5BMl5BanBnXkFtZTgwOTAxOTU3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.1,"3,692",tt4900018,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,"Surviving Compton: Dre, Suge and Michel'le",,,,,,,,,,,,,,,,,,,,,,,,,
True,,Colin Quinn: The New York Story,Colin Quinn: The New York Story,2016,TV-MA,18 Nov 2016,62 min,Comedy,Jerry Seinfeld,Colin Quinn,Colin Quinn,Colin Quinn discusses the origins of New York and how it got its unique personality.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzgxZTMyNzItNTZmMS00MDAyLWJmMzQtMzgzYjM2YWE2YmNjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"1,090",tt6257714,movie,N/A,N/A,N/A,N/A,
True,,Secrets of Great British Castles,Secrets of Great British Castles,2015–2016,TV-PG,03 Apr 2015,45 min,"Documentary, History",N/A,N/A,"Dan Jones, Christophe Lombardi, Jay Dee","Historian Dan Jones explores the millennium of history behind six of Great Britain's most famous castles: Warwick, Dover, Caernarfon, the Tower of London, Carrickfergus, and Stirling.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMGNiNTJiZTItOThlOC00NjkyLTkwZDYtODM4ZDhkZDQ1MmJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"1,271",tt5181284,series,,,,,2
True,,Hawaizaada,Hawaizaada,2015,Not Rated,06 Feb 2015,148 min,"Biography, Drama",Vibhu Puri,"Saurabh Bhave, Vibhu Puri","Naman Jain, Mithun Chakraborty, Samir Chandra","The film which is based on the life on an Indian scientist Shivkar Bapuji Talpade, who is credited to have constructed India's first unmanned plane is the tale of the hardships that he went through on the journey to discover. Also...",Hindi,India,2 nominations,https://m.media-amazon.com/images/M/MV5BNDRiYmZjZjktNTkxMi00NGRjLWEzOGYtYTg5NmMyMjI1YzMwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,5.5,"2,097",tt4338154,movie,N/A,N/A,N/A,N/A,
True,,Rainbow Ruby,Rainbow Ruby,2016–2020,TV-Y,23 Apr 2016,11 min,"Animation, Short, Adventure",N/A,Roberto Santiago,"Johnny Yong Bosch, Colleen O'Shaughnessey, Shannon Chan-Kent","A little girl travels to Rainbow Village, a land where all her toys live, and helps save the day.",Korean,"South Korea, Canada, Spain, Mexico",N/A,https://m.media-amazon.com/images/M/MV5BNWQwYWJlZmEtZjhiZS00NzA1LWIyZjAtZDVjZjg5NWNjMzA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,118,tt5828144,series,,,,,2
True,,Riot,Riot,2015,Not Rated,15 Apr 2016,87 min,Action,John Lyde,"John Lyde, Spanky Dustin Ward","Matthew Reese, Dolph Lundgren, Danielle C. Ryan",Cop Jack Stone robs a Russian mob bank to end in the same prison as the mob boss killing Jack's wife. An inmate helps him as does a reporter. Lots of fights.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjI0OTM2Mjg1OV5BMl5BanBnXkFtZTgwNzUyNzU2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,"3,986",tt4642044,movie,N/A,N/A,N/A,N/A,
True,,Simon,Simon,2004,TV-MA,30 Sep 2004,102 min,"Comedy, Drama",Eddy Terstall,Eddy Terstall,"Cees Geel, Marcel Hensema, Rifka Lodeizen",A mild-mannered gay dentist and a hedonist womanizer rekindle their unlikely friendship when the latter's terminal cancer drives them back together after a decade apart.,"Dutch, English, German, Thai",Netherlands,8 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTQwODU3MTMxMl5BMl5BanBnXkFtZTcwMTA3OTYyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.8,"8,242",tt0393775,movie,N/A,"$4,055",N/A,N/A,
True,,Richie Rich,Richie Rich,1994,PG,21 Dec 1994,95 min,"Comedy, Family",Donald Petrie,"Neil Tolkin, Tom S. Parker, Jim Jennewein","Macaulay Culkin, Edward Herrmann, John Larroquette","Richie Rich is the richest kid in the world. The one thing Richie doesn't have is friends. When his parents suddenly go missing, Richie hooks up with a group of kids who just might fill the void in his life, while helping save his...","English, Latin",United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BZWEyNTYzNmMtMTFkNC00Zjk4LWI4MzUtMjAzMjZjOTJmMjVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.4,"76,687",tt0110989,movie,N/A,"$38,087,756",N/A,N/A,
True,,Kevin Hart: What Now?,Kevin Hart: What Now?,2016,R,14 Oct 2016,96 min,"Documentary, Comedy","Leslie Small, Tim Story","Kevin Hart, Joey Wells, Harry Ratchford","Kevin Hart, Don Cheadle, Halle Berry","Comedian Kevin Hart performs in front of a crowd of 53,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",English,United States,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzI2MDk3OTA5N15BMl5BanBnXkFtZTgwMDU1MDgxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.0,"10,065",tt4669186,movie,N/A,"$23,591,043",N/A,N/A,
True,,Legends of the Hidden Temple,Legends of the Hidden Temple,1993–1995,TV-G,11 Sep 1993,30 min,"Adventure, Family, Game-Show",N/A,"Stephen Brown, David G. Stanley, Scott A. Stone","Kirk Fogg, Dee Bradley Baker, Zachary Maxell",Six teams compete for the chance to search for the treasure inside the titular temple.,English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNzk3MTUwMzQtYmRhMy00ZTlhLTljMDUtMzUwYTRkYTlmYjUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"4,185",tt0310482,series,,,,,3
True,,Marseille,Marseille,2016–2018,TV-MA,05 May 2016,2 min,Drama,N/A,Dan Franck,"Gérard Depardieu, Benoît Magimel, Géraldine Pailhas","A tale of power, corruption and redemption set against the rich backdrop of the French port city of Marseille.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BMjMwNTY0NjU5N15BMl5BanBnXkFtZTgwODYyNzc3NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"5,686",tt4003966,series,,,,,2
True,,Veteran,Veteran,2015,Not Rated,05 Aug 2015,123 min,"Action, Comedy, Crime",Ryoo Seung-wan,Ryoo Seung-wan,"Hwang Jung-min, Yoo Ah-in, Yoo Hae-jin",An honest cop seeks justice for a common man against all odds. A rich boy seeks revenge on the cop.,"Korean, Russian, English",South Korea,25 wins & 45 nominations total,https://m.media-amazon.com/images/M/MV5BYzI1Y2FkMDItMmMxNi00ZmJhLWEzMGUtOTdiOTc4YmZiOGE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.0,"8,875",tt4768764,movie,N/A,"$1,200,627",N/A,N/A,
True,,Opening Night,Opening Night,1977,PG-13,17 Apr 1978,144 min,Drama,John Cassavetes,John Cassavetes,"Gena Rowlands, John Cassavetes, Ben Gazzara",A renowned actress teeters on the edge of a breakdown as she counts down the days toward a big Broadway opening.,English,United States,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMDVlYjdiZDctMzQwMi00YTE4LTlmZTItZGUyNDQ5MjA1ODgwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.9,"13,448",tt0079672,movie,N/A,"$23,488",N/A,N/A,
False,Movie not found!,Raman Raghav 2.0,,,,,,,,,,,,,,,,,,,,,,,,,
True,,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,N/A,25 Apr 2017,108 min,"Adventure, Comedy, Crime","Felix Herngren, Felix Herngren Måns Herngren, Måns Herngren","Hans Ingemansson, Felix Herngren, Måns Herngren","Robert Gustafsson, Iwar Wiklander, David Wiberg","The 101 year old man Allan Karlsson goes through Europe in search for a Russian soda recipe he lost during the early 70s. Unfortunately, he is not the only one who is looking for it.","Swedish, English, German, Russian","Sweden, Hungary, United States",2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTU3MzE1Mzc0M15BMl5BanBnXkFtZTgwMTg4Njg0MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"6,716",tt4940370,movie,N/A,N/A,N/A,N/A,
True,,Another Miss Oh,Another Miss Oh,2016,N/A,02 May 2016,70 min,"Comedy, Fantasy, Romance",N/A,N/A,"Eric Moon, Seo Hyeon-jin, Ye Ji-won","A romantic television series about two women who not only share the same name Oh Hae Young but they also share a destiny with the same man, Park Do Kyung, who can see the future.",Korean,South Korea,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNGIzMzI5NzktNTQyYi00OGY4LWE1NzktYmU0YTBlZDYzMzU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"2,527",tt5679572,series,,,,,1
True,,6 Years,6 Years,2015,Not Rated,18 Aug 2015,79 min,"Drama, Romance",Hannah Fidell,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge","A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",English,United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BMTYzMTMwMDMzMF5BMl5BanBnXkFtZTgwNDc4MjUzNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.5,"13,296",tt3799372,movie,N/A,N/A,N/A,N/A,
True,,Paquita Salas,Paquita Salas,2016–2019,N/A,06 Jul 2016,N/A,Comedy,N/A,"Javier Ambrossi, Javier Calvo","Brays Efe, Belén Cuesta, Lidia San José","After losing her biggest client, talent agent Paquita starts a search for new stars.",Spanish,Spain,5 wins & 18 nominations,https://m.media-amazon.com/images/M/MV5BMjQ4MDc4Mjc1MF5BMl5BanBnXkFtZTgwNDYzNDk2NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"4,034",tt5866074,series,,,,,4
True,,Unnatural Selection,Unnatural Selection,2019,TV-MA,18 Oct 2019,66 min,Documentary,N/A,N/A,"David Ishee, Jeffrey Kahn, Jackson Kennedy","DNA, the very essence of life, can now be altered. Not only by Harvard geneticists and multi-billion dollar corporations, but also by renegade biohackers working out of their garages.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTZhNDM3YjktNGU0OC00NmMxLWFmNWMtZTFlMDQ0NTViYmYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"2,281",tt11063952,series,,,,,1
True,,Shaun the Sheep: The Farmer's Llamas,Shaun the Sheep: The Farmer's Llamas,2015,TV-G,13 Nov 2015,28 min,"Animation, Comedy, Family",Jay Grace,"Nick Vincent Murphy, Lee Pressman, Richard Starzak","Justin Fletcher, John Sparkes, Sean Connolly",Shaun the Sheep gets the Farmer to bring home three llamas from the County Fair.,English,United Kingdom,2 wins,https://m.media-amazon.com/images/M/MV5BODExNjU0MjYtZjZhMy00YjI4LWE1NzItNDZkMWExMTQzOWZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"1,740",tt5174284,movie,N/A,N/A,N/A,N/A,
True,,Un + une,Un + Une,2015,Not Rated,09 Dec 2015,115 min,"Comedy, Drama, Romance",Claude Lelouch,"Claude Lelouch, Valérie Perrin","Jean Dujardin, Elsa Zylberstein, Christopher Lambert","French famous film score composer goes to India to compose the score for an Indian adaptation of Romeo and Juliet. There he meets the wife of the French ambassador to India, and a complicated relationship ensues.","English, French","France, United Kingdom",1 nomination total,https://m.media-amazon.com/images/M/MV5BOTIxZDI1MjktYjJmMy00ZDVhLTlhMDgtM2VhZWY0MTg1MDJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"2,533",tt1918911,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Ok Kanmani,,,,,,,,,,,,,,,,,,,,,,,,,
True,,True Memoirs of an International Assassin,True Memoirs of an International Assassin,2016,TV-14,11 Nov 2016,98 min,"Action, Comedy, Crime",Jeff Wadlow,"Jeff Morris, Jeff Wadlow","Kevin James, Kim Coates, Maurice Compte","After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjEzMjI0Mzc5MV5BMl5BanBnXkFtZTgwODExMDgxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.9,"24,820",tt1542768,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,H20: Mermaid Adventures,,,,,,,,,,,,,,,,,,,,,,,,,
True,,High & Low The Movie,High & Low: The Movie,2016,N/A,16 Jul 2016,129 min,Action,Shigeaki Kubo,"Norihisa Hiranuma, Kei Watanabe","Joshua Walters, Ryôhei Abe, Leon Shibli Ahmad","Chiku is a devastated and dangerous town with 5 gangs fighting fiercely. Mugen and the Amamiya Brothers clashed, leading to Mugen disbanding.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNDFkY2IwZjgtZmIyMi00MTc5LTgzYzktZDFjNmJkNjFmMTkwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,851,tt5659172,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Dear My Friends,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Strange Weather,Strange Weather,2016,R,28 Jul 2017,92 min,Drama,Katherine Dieckmann,Katherine Dieckmann,"Holly Hunter, Carrie Coon, Kim Coates","in an effort to deal with the grief over the death of her son, a Georgia mother travels the back roads of the deep south to settle a score. A story of grief and forgiveness, of looking inward to find a way to move forward.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTYxZDUwZmUtODhmOC00M2VhLTkwNTUtMjY5ZDhjZTY0MzQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.0,"1,906",tt5205210,movie,N/A,N/A,N/A,N/A,
True,,The Sound of Your Heart,The Sound of Your Heart,2016–2017,N/A,07 Nov 2016,N/A,Comedy,N/A,Seok Jo,"Lee Kwang-soo, Kim Dae-myung, Jung So-min","Based on the longest-running webtoon ""Maeum-ui Sori"" in Korea, ""Sound of your heart"" is a story about Cho Seok, an aspiring comic writer, and his strange family.",Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BYTY3OTUzMDEtNzRlYi00NTJjLTg5Y2UtZTBjMjc2OTQzMzM0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"1,768",tt4613520,series,,,,,1
False,Movie not found!,The Lighthouse of the Orcas,,,,,,,,,,,,,,,,,,,,,,,,,
True,,The Good Cop,The Good Cop,2018,TV-PG,21 Sep 2018,2 min,"Comedy, Crime, Drama",N/A,Andy Breckman,"Tony Danza, Josh Groban, Monica Barbaro","A disgraced former NYPD officer lives with his son, an earnest, obsessively honest NYPD detective.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGQxYzA5OWUtNWQ5YS00NTdiLTk5MmUtZWNhNzJmZTMzY2NkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"7,313",tt7183074,series,,,,,1
True,,Servant Of The People 2,Servant of the People 2,2016,N/A,23 Dec 2016,100 min,"Comedy, Family",Aleksey Kiryushchenko,N/A,"Volodymyr Zelenskyy, Evgeniy Koshevoy, Stanislav Boklan","'What if an ordinary man, an honest and principled teacher, becomes the President? Would he be able to survive in the world of high politics, overcome all obstacles and corruption, and confront the oligarchs and all political oppo...","Russian, Ukrainian",Ukraine,3 nominations,https://m.media-amazon.com/images/M/MV5BODBjNWYwMGUtMTJmZC00NGNmLTk0MGUtNWM2NmQxNzY5NTBiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,064",tt6818880,movie,N/A,N/A,N/A,N/A,
True,,Sons of the Caliphate,Sons of the Caliphate,2016–,N/A,13 Oct 2016,N/A,Drama,N/A,N/A,"Mofe Duncan, Rahama Sadau, Yvonne Hays","This is a drama series about the lives of three rich, entitled, passionate and ambitious young men: Kalifah, Nuhu and Diko. Elections are fast approaching and there's a tussle for the governorship seat of the Northern Caliphate St...","Hausa, English",Nigeria,N/A,https://m.media-amazon.com/images/M/MV5BNDY3MzY5MDQtMGZhNC00YjU0LTg1NDUtNGZkN2YzMGVmZjA0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,47,tt10202268,series,,,,,2
True,,Kathleen Madigan: Bothering Jesus,Kathleen Madigan: Bothering Jesus,2016,N/A,N/A,72 min,Comedy,Lorene Machado,Kathleen Madigan,Kathleen Madigan,"Once again Kathleen's standup is beyond hysterical where she riffs on drinking, Jesus, her large and funny family, Ireland, Missouri ( Her home state) and her views on life!",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjhmYjMzZjMtMmNmYy00NDY5LWEzYjEtOGIzNGYyNjVkZmIzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,712,tt6264486,movie,N/A,N/A,N/A,N/A,
True,,Heneral Luna,Heneral Luna,2015,R,30 Oct 2015,118 min,"Action, Biography, History",Jerrold Tarog,"Henry Francia, Sumaquel P. Hosalla, Pedro Javier","John Arcilla, Arron Villaflor, Mon Confiado","Set during the Philippine-American war, a short-tempered Philippine Revolutionary Army general faces an enemy more formidable than the American army: his own treacherous countrymen.","Filipino, English, Spanish",Philippines,17 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BNjg3MTgxNjA2NV5BMl5BanBnXkFtZTgwOTczNDY5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.2,"2,586",tt4944352,movie,N/A,"$206,040",N/A,N/A,
True,,Ordinary World,Ordinary World,2016,Not Rated,14 Oct 2016,86 min,"Comedy, Drama, Music",Lee Kirk,Lee Kirk,"Billie Joe Armstrong, Fred Armisen, Judy Greer",An aging punk rocker copes with life after rock.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjI4MDM4MTU0Ml5BMl5BanBnXkFtZTgwMTg4NzgwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,5.5,"3,371",tt4189494,movie,N/A,N/A,N/A,N/A,
True,,El Chema,El Chema,2016–2017,TV-MA,17 Nov 2016,43 min,"Action, Crime",N/A,Luis Zelkowicz,"Mauricio Ochmann, Julio Bracho, Itatí Cantoral","The notorious rise and fall of El Chapo, the world's most powerful drug lord. The story of a man who became the biggest drug kingpin through grit, audacity and relentless brutality.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BYmU0MjI1NzMtMjhmNS00YzYxLWFiNDYtNTc4ZmE1Mzk5MGNmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,362,tt5730624,series,,,,,1
True,,Mohenjo Daro,Mohenjo Daro,2016,Not Rated,12 Aug 2016,155 min,"Action, Adventure, Drama",Ashutosh Gowariker,"Ashutosh Gowariker, Preiti Mamgain","Hrithik Roshan, Pooja Hegde, Kabir Bedi","In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.","Indonesian, Hindi",India,1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BNmYxZGNjMzQtZWY1Yy00ODMxLTg0ODktOTQ4OTZkZWFlNmFmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.6,"12,973",tt3859980,movie,N/A,"$1,264,339",N/A,N/A,
True,,Captive,Captive,2015,PG-13,18 Sep 2015,97 min,"Action, Biography, Crime",Jerry Jameson,"Brian Bird, Ashley Smith, Stacy Mattingly","Kate Mara, David Oyelowo, Mimi Rogers",A single mother struggling with drug addiction is taken hostage in her own apartment by a man on the run who has broken out of jail and murdered the judge assigned to his case.,English,"United States, Mexico",3 nominations total,https://m.media-amazon.com/images/M/MV5BMjMwNzIyNTY5N15BMl5BanBnXkFtZTgwOTUyNDEwNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.4,"7,397",tt3268668,movie,N/A,"$2,583,301",N/A,N/A,
True,,Dil Dhadakne Do,Dil Dhadakne Do,2015,Not Rated,05 Jun 2015,170 min,"Comedy, Drama, Romance",Zoya Akhtar,"Zoya Akhtar, Reema Kagti, Javed Akhtar","Anil Kapoor, Shefali Shah, Priyanka Chopra Jonas",The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,Hindi,India,10 wins & 31 nominations,https://m.media-amazon.com/images/M/MV5BZmExOTlmNDAtYWMzZC00NzEyLWFhYmYtNTgwMjZiMDRhMDQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",N/A,7.0,"20,475",tt4110568,movie,N/A,"$3,066,100",N/A,N/A,
False,Movie not found!,"Hello, My Twenties!",,,,,,,,,,,,,,,,,,,,,,,,,
True,,Haters Back Off,Haters Back Off!,2016–2017,TV-14,14 Oct 2016,30 min,"Comedy, Drama, Family",N/A,"Christopher Ballinger, Colleen Ballinger, Gigi McCreery","Colleen Ballinger, Angela Kinsey, Francesca Reale","The oddball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous--but nobody knows yet.",English,United States,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjMzNzEwNDIzNl5BMl5BanBnXkFtZTgwMzI4OTMyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"7,954",tt5467814,series,,,,,2
True,,Toro,Toro,2016,PG-13,22 Apr 2016,105 min,"Action, Crime, Drama",Kike Maíllo,"Rafael Cobos, Fernando Navarro","Mario Casas, Luis Tosar, José Sacristán",A former con man must be back to his old habits to save his older brother and niece from his ex boss and mentor.,Spanish,Spain,6 nominations,https://m.media-amazon.com/images/M/MV5BMzRmYTAxNmQtNjgwMy00ODAwLWIzZjItZThjNzYzMjIwMWI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,5.9,"3,490",tt4213806,movie,N/A,N/A,N/A,N/A,
True,,Good Morning Call,Good Morning Call,2016–2017,TV-14,12 Feb 2016,48 min,"Comedy, Romance",N/A,Yue Takasuka,"Haruka Fukuhara, Shun'ya Shiraishi, Moe Arai","Nao rents her dream apartment, but things are not what they seem when she finds out she will be sharing it with high school heart throb Uehara.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNTFkZjM3OTgtZDhmZi00OGViLWIxNDYtNjk0MWU1NGZiZDE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"3,759",tt5520732,series,,,,,2
