,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
565,Well Done Abba!,2009,,26 Mar 2010,144 min,Comedy,Shyam Benegal,"Jayant Kripalani, Sanjeev, Jeelani Bano","Boman Irani, Minissha Lamba, Sammir Dattani","A mild mannered chauffeur finds that the government in his parched village is giving loans to dig one's own well. After fudged photographs and bribes, he has no loan amount left to build his well. Aggrieved, he protests by abjurin...",Hindi,India,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZWM1YzEzZjItMzI5OS00NWRkLTgwZDYtMzMxZGEzNzc4MDliXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"2,019",tt1397492,movie,,,,,True,,Well Done Abba!
566,Kisaan,2009,Not Rated,20 Mar 2009,100 min,"Action, Crime, Drama",Puneet Sira,"S.R. Bharti, Salim Bijnori, Vekeana Dhillon","Jackie Shroff, Sohail Khan, Arbaaz Khan",A bitter family battle ensues between a father and his sons when a businessman makes a deal that entices farmers to sell off their properties.,Hindi,India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDgyN2Y0ZmItNjg2Zi00ZDExLWJmNWMtMDNhMTY1MWI5ZDM5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,337,tt1372266,movie,,,,,True,,Kisaan
567,Once a Gangster,2010,Not Rated,20 May 2010,95 min,"Action, Comedy, Crime",Felix Chong,Felix Chong,"Ekin Cheng, Jordan Chan, Alex Fong","Two former triad members are forced to run an election to become the successor of their old gang. However, neither covets the position as both wish to maintain their current idyllic life in society. Now they must outwit the other ...",Cantonese,Hong Kong,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTUyNTE4MTE0OF5BMl5BanBnXkFtZTgwMjM1NDA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",,5.7,574,tt1611840,movie,,,,,True,,Once a Gangster
568,Perazhagan,2004,Not Rated,12 Oct 2021,143 min,"Comedy, Drama, Romance",Sasi Shankar,"Sasi Shankar, Singampuli","Suriya, Jyotika, Vivek","Chinna, a hunchbacked phone booth operator, loves a blind street dancer and wants to help her regain her sight. Kartik, his lookalike, is a constable in love with the commissioner's daughter.",Tamil,India,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNGEyMjY4ZDQtNDBiMy00OGY1LTk2ZjAtZjExOTViM2RmMDA4XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,"1,671",tt0422934,movie,,,,,True,,Perazhagan
569,Together,2025,R,30 Jul 2025,102 min,"Horror, Romance",Michael Shanks,Michael Shanks,"Dave Franco, Alison Brie, Damon Herriman","Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to corrupt their lives, their love and their ...",English,"Australia, United States",4 nominations total,https://m.media-amazon.com/images/M/MV5BOWI1Mzg0OWUtNDYxYy00Mzk3LTgxMjMtYWYxZjJhMjI4NDcyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.8,"39,638",tt31184028,movie,,"$21,273,159",,,True,,Together
570,"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",2009,,12 Dec 2016,121 min,Drama,Deepti Naval,Deepti Naval,"Rajit Kapoor, Manisha Koirala, Sanaj Naval","When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",Hindi,India,1 win,https://m.media-amazon.com/images/M/MV5BZWI1YTY4ZmEtN2QyZC00YTFiLWI4MzUtM2VhOWMwNjNlZjIyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,292,tt1935782,movie,,,,,True,,"Do Paise Ki Dhoop, Chaar Aane Ki Baarish"
571,Kuselan,2008,,01 Aug 2008,165 min,"Comedy, Drama, Family",P. Vasu,"Sreenivasan, Srinivasan, P. Vasu","Rajinikanth, Pasupathy, Meena","Story related to old friends ,after one being a popular actor and other being a barber and managing family.","Telugu, Tamil",India,1 nomination,https://m.media-amazon.com/images/M/MV5BOGIzZTdmNGMtM2Y0My00ZmE5LTlhNGUtNWZkMzc5MTVjYjY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",,4.9,"1,203",tt1273218,movie,,,,,True,,Kuselan
572,Chance Pe Dance,2010,,15 Jan 2010,122 min,"Comedy, Drama, Music",Ken Ghosh,"Nupur Asthana, Manu Rishi Chadha, Ken Ghosh","Shahid Kapoor, Genelia Deshmukh, Mohnish Behl",New love convinces a struggling actor and dancer to enter a talent competition that could make him a superstar.,"Hindi, Urdu",India,,https://m.media-amazon.com/images/M/MV5BNmFiNGI3NjktZjFmOC00OGY2LWE3MjYtY2RjYjc3ODE4MjQ3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,"3,124",tt1392744,movie,,"$168,643",,,True,,Chance Pe Dance
573,Dhan Dhana Dhan Goal,2007,,23 Nov 2007,167 min,"Drama, Sport, Thriller",Vivek Agnihotri,"Anurag Kashyap, Rohit Malhotra, Vikramaditya Motwane","John Abraham, Arshad Warsi, Bipasha Basu",Asian Southall Football Club was once a reputed club until 1984 now being used as wedding venue.Few Asians still practice out there but find the clubs lease will expire soon and will shut forever who then team up to save the club.,"Hindi, English","United Kingdom, India",,https://m.media-amazon.com/images/M/MV5BNjJlM2RkOTUtOGQ4NC00MzQxLThlZjItNWNkNmNkN2JiODRmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,"3,037",tt1120897,movie,,"$125,547",,,True,,Dhan Dhana Dhan Goal
574,Aagey Se Right,2009,Not Rated,04 Sep 2009,117 min,"Comedy, Crime, Drama","Indrajit Nattoji, Inderjeet Singh","Abhijeet Shirish Deshpande, Hitesh Kewalya, Indrajit Nattoji","Shreyas Talpade, Mahie Gill, Karanveer Mehra","Spurred on by his pushy mother, Kanta, slacker Dinkar Waghmare, infatuated with TV Reporter, Soniya Bhatt, is compelled to join the Mumbai Police Force as a Sub-Inspector and follow in his late father's footsteps. On his way to Mu...",Hindi,India,,https://m.media-amazon.com/images/M/MV5BYzhkNzdhNGMtOTFmZi00Nzk4LThlYzYtMTk5MmJjYjUyMWYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",,5.2,429,tt1479667,movie,,,,,True,,Aagey Se Right
575,Falafel,2006,,30 Jul 2008,83 min,Drama,Michel Kammoun,Michel Kammoun,"Elie Mitri, Gabrielle Bou Rached, Caroline Azzam",Everything bad that can happen on the way to a party happens to young Tou on this nighttime trip through Beirut.,"Arabic, French","France, Lebanon",7 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMjExODgzMDUyNl5BMl5BanBnXkFtZTcwMjk4OTk1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,291,tt0922424,movie,,,,,True,,Falafel
576,Hattrick,2018,,13 Feb 2019,93 min,"Drama, Thriller",Ramtin Lavafipour,Ramtin Lavafipour,"Amir Jadidi, Parinaz Izadyar, Saber Abar","Four friends run over something after a party in this psychological thriller set in Iran of the empty lives of the middle class when they get together in groups, emotional explosions start happening along moral fault lines.",Persian,Iran,2 nominations,https://m.media-amazon.com/images/M/MV5BOTI2M2MxYTItNjdmNC00MTI1LWI3MTAtZDEwNGE0YzIyNTVmXkEyXkFqcGdeQXVyMTAxODQ2NDU1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,755,tt8116612,movie,,,,,True,,Hattrick
577,My MVP Valentine,2002,,21 Jul 2002,46 min,Drama,,,"Hsing-shu Yen, Angela Shao-Han Chang, Tony Sun","A young man whose life revolves around basketball must give up what he loves the most to repent for a horrible tragedy. Tuan Chen-Feng (Hsing-shu Yen), a talented high school basketball player, is on the way to the most important ...",Mandarin,Taiwan,,https://m.media-amazon.com/images/M/MV5BN2I1YTBmODMtZDZjMi00MDI5LWI5ZTYtOTM2YTRmNDAwNTJkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,30,tt6286390,series,,,,,True,1.0,My MVP Valentine
578,Like Twenty Impossibles,2003,,01 Oct 2003,17 min,"Drama, Short",Annemarie Jacir,"Annemarie Jacir, Kamran Rastegar","Tarek Abu Assab, Ashraf Abu Moch, Reem Abu-Sbaih","Occupied Palestine: A serene landscape now pockmarked by military checkpoints. When a Palestinian film crew decides to avert a closed checkpoint by taking a remote side road, the political landscape unravels, and the passengers ar...","English, Hebrew, Arabic",Occupied Palestinian Territory,6 wins,https://m.media-amazon.com/images/M/MV5BNGI5YjJjNDItNTEzZS00MjFlLWJmM2QtM2JkYTQxOTY3NjNjXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,167,tt0387353,movie,,,,,True,,Like Twenty Impossibles
579,Look for a Star,2009,,23 Jan 2009,117 min,"Comedy, Romance",Wai Keung Lau,"Cindy Tang, James Yuen, Koon-Nam Lui","Andy Lau, Shu Qi, Hanyu Zhang","Inspired by the relationship between Stanly Ho and his fourth wife, Angela, it's a romantic comedy about a billonaire who falls in love with a feisty casino dealer. Rated PG","Cantonese, Mandarin, English",Hong Kong,3 nominations total,https://m.media-amazon.com/images/M/MV5BZGQwNzcyZTAtZTA3MC00MjQ0LWE2YTMtN2FlM2Q2OGY4ODFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,844,tt1312156,movie,,,,,True,,Look for a Star
580,Koi Aap Sa: But Lovers Have to Be Friends,2005,,14 Oct 2005,142 min,"Comedy, Drama, Romance",Partho Mitra,"Mahesh Pandey, Sameer, Dheeraj Sarna","Aftab Shivdasani, Anita Hassanandani Reddy, Dipannita Sharma","An emotional Mumbai-based football player, Rohan, seeks the assistance of childhood friend, Simran, to successfully woo fellow-collegian, Preeti. Simran herself is about to be engaged to U.S.-based Vicky. After the engagement cere...",Hindi,India,,https://m.media-amazon.com/images/M/MV5BMzdiNTA4ZDMtZDNjMi00N2NkLWJlZDItMjM2MTFjODc4MTkxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,309,tt0488840,movie,,,,,True,,Koi Aap Sa: But Lovers Have to Be Friends
581,Unriddle,2010–2012,,04 Aug 2010,60 min,"Action, Adventure, Drama",,,"Rui En, Li Ping Chen, Sora Ma","Detective Hu Xiaoman meets low level criminal Da Bao during an investigation of a missing heiress. Inspite of being on opposite sides of the law, the two work together to solve cases.",Chinese,Singapore,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMzlkMzQ1YmEtNTEzMS00N2UzLTk1ZTQtMTIxMDUzZjI1ZDliL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,35,tt3819614,series,,,,,True,2.0,Unriddle
582,Talentime,2009,,26 Mar 2009,120 min,Drama,Yasmin Ahmad,Yasmin Ahmad,"Mahesh Jug al Kishor, Pamela Chong, Amelia Henderson",A Malay-mixed pianist and an Indian guitarist are partnered in a talent show competition.,"Malay, Tamil, English, Cantonese, Sign ",Malaysia,5 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BN2UxOGM5ODAtYjgyOS00YWVlLTk0OTQtYzRhZTI1ZGE4NWMwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,262,tt1351669,movie,,,,,True,,Talentime
583,The Family Court,2010,TV-MA,01 Sep 2010,45 min,Drama,,,"Ping Hui Tay, Yuwu Qi, Chris Tong","Shu Ya (Chris Tong), Guan Ying (San Yow), Xi Ping (Ping Hui Tay), Le Shan (Yuwu Qi) and Zhao Ning (Eelyn Kok) are lawyers from two different law firms but are in fact close friends. They meet frequently after work at Xi Ping's pub...",Mandarin,Singapore,,https://m.media-amazon.com/images/M/MV5BYTZiNzAwNzItNmNkZS00M2Q4LTg4MGUtMTllODNmYzFlMDI0XkEyXkFqcGc@._V1_SX300.jpg,[],,,,tt9184102,series,,,,,True,1.0,The Family Court
584,Dhoondte Reh Jaaoge!,1998,,,,"Comedy, Drama, Family, Romance",Kumar Bhatia,"Kumar Bhatia (screenplay), Kumar Bhatia (story)","Amar Upadhyay, Antara Mali, Tinnu Anand, Prem Chopra","A hitman, an evil priest, two thieves, college students, et al gather at a hotel to witness the auction of a priceless diamond.",Hindi,India,,,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,5.0,38,tt0317355,movie,,,,,True,,Dhoondte Reh Jaaoge!
585,A Very Special Love,2008,TV-PG,30 Jul 2008,106 min,"Comedy, Romance",Cathy Garcia-Sampana,Raz de la Torre,"John Lloyd Cruz, Sarah Geronimo, Dante Rivero","Laida Magtalas is a modern-day Belle. ""Miggy"" is the youngest member of the Montenegro clan, a well-established family in the business world. She applies as Editorial Assistant at Miggy's newly launched men's magazine, ""Bachelor,""...","Tagalog, Filipino",Philippines,19 nominations,https://m.media-amazon.com/images/M/MV5BMTVjOGE0NTctNWI5ZS00MTUxLWI4YjYtNTM3MWMzZTRlNDA2XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,441,tt1243381,movie,,,,,True,,A Very Special Love
586,Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,,,65 min,Animation,Rajiv Chilaka,Nidhi Anand,"Vatsal Dubey, Rupa Bhimani, Julie Tejwani",Krishna needs Bheem's help: The ruined city of Pataliputra has been cursed. Can the friends do what it takes to bring light back into this town?,Hindi,India,,https://m.media-amazon.com/images/M/MV5BZjJkMzIxYzUtYzViOS00NzIzLWI5OWUtMDNlYTNjZDgzNTU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",,8.2,143,tt6543110,movie,,,,,True,,Chhota Bheem & Krishna: Pataliputra- City of the Dead
587,Ezra,2023,R,30 May 2024,101 min,"Comedy, Drama",Tony Goldwyn,Tony Spiridakis,"Bobby Cannavale, Rose Byrne, Vera Farmiga",A stand-up comedy writer navigates the complexities of living with his father while co-parenting his autistic son with his former spouse. He grapples with hurdles as he balances family responsibilities and his career.,English,United States,4 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZTZjMTc0MjAtY2ZmMC00ZDM1LTk3MmItMmQ4NzQwZDM3MTgzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.4,"5,195",tt20315818,movie,,"$2,631,460",,,True,,Ezra
588,Mighty Raju,2010–,Not Rated,01 Jan 2014,,Animation,,,"Julie Tejwani, Rajesh Kava, Jigna Bhardwaj",A four-year-old Raju receives super human strength when his then pregnant mother accidentally consumes a compound created by his scientist father.,,,,https://m.media-amazon.com/images/M/MV5BNDliYjY5ZGItNmQzNC00YTE4LWIwZmYtOTQyMjFhM2M3MzE3XkEyXkFqcGdeQXVyMTAzOTAxNjIw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,95,tt6491030,series,,,,,True,3.0,Mighty Raju
589,Frontiers of Dreams and Fears,2001,,08 Oct 2001,56 min,"Documentary, History",Mai Masri,,"Manar Faraj, Mona Zaaroura","Offering a rare glimpse into one side of the Middle East conflict, Frontiers of Dreams and Fears explores the lives of a group of Palestinian children growing up in refugee camps. The film focuses on two teenage girls, Mona and Ma...",Arabic,"Occupied Palestinian Territory, Lebanon, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BNjJkYTQ3MDItYzhlNy00NzllLWEyOTEtMjQ3NDU4YjNhNzBjXkEyXkFqcGdeQXVyNDM1Mjc2NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",,8.3,105,tt0477653,movie,,,,,True,,Frontiers of Dreams and Fears
590,A Love Story,1970,,24 Apr 1970,115 min,"Drama, Romance",Roy Andersson,Roy Andersson,"Ann-Sofie Kylin, Rolf Sohlman, Anita Lindblom","Two teenagers fall in love over the summer, in spite of cynical and disapproving adults who dismiss their relationship as being nothing but young love.","Swedish, Spanish",Sweden,5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNmIxMjhiZjAtN2E5OC00ZmI4LWEwMGMtNjcyYjYzMjZlNDE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"7,731",tt0065955,movie,,,,,True,,A Love Story
591,Chhota Bheem: Bheem vs Aliens,2010,,,69 min,"Animation, Action, Adventure",Rajiv Chilaka,Darsana Radhakrishnan,"Vatsal Dubey, Rupa Bhimani, Julie Tejwani","Aliens from a planet called Zeake attack Dholakpur. They destroy the palace and take King Indravarma and Princess Indumati captive. The aliens then proceed to Pehalwanpur. Kyto, the alien leader challenges Bheem to a game to relea...",,,,https://m.media-amazon.com/images/M/MV5BOWYyZDYwZjItZWIxMS00NzRlLTljN2MtODBlN2M1Y2Y1YjM3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,158,tt6442436,movie,,,,,True,,Chhota Bheem: Bheem vs Aliens
592,The Truth,2019,PG,03 Jul 2020,106 min,"Comedy, Drama",Hirokazu Koreeda,"Hirokazu Koreeda, Ken Liu","Catherine Deneuve, Juliette Binoche, Ethan Hawke","A stormy reunion between scriptwriter Lumir with her famous mother and actress, Fabienne, against the backdrop of Fabienne's autobiographic book and her latest role in a Sci-Fi picture as a daughter of a mother who never grows old.","French, English, Mandarin","France, Japan, Switzerland",1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BNDdiZmZlYzItMTAzMS00OTM1LTk0ZDktMWIxNGUzM2JmMmVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,6.5,"8,197",tt8323120,movie,,"$9,619",,,True,,The Truth
593,Tango with Me,2010,,17 Apr 2011,104 min,"Drama, Family, Romance",Mahmood Ali-Balogun,"Mahmood Ali-Balogun, Femi Kayode","Sunday Afolabi, Queen Ahune, Bimbo Akintola",,English,Nigeria,6 nominations,https://m.media-amazon.com/images/M/MV5BNjlkNWZiYzQtYjQyNy00ZDQ1LTllZTAtZjZkNzM2NGNmYmIxXkEyXkFqcGdeQXVyNzMxMjA0OTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,47,tt1686795,movie,,,,,True,,Tango with Me
594,To and from New York,2006,Unrated,12 Aug 2006,82 min,"Drama, Romance",Sorin Dan Mihalcescu,"Sorin Dan Mihalcescu, Raluca Pencu","Barbara King, Yoriko Haraguchi, Shaana Levy, Lyudmila Polupanova","While covering a story in New York City, a Seattle-based reporter (Barbara King) uncovers a link between two missing women that changes her lead entirely. Now, with her editor breathing ...",English,USA,,https://m.media-amazon.com/images/M/MV5BMjcyNjcwMjE1OV5BMl5BanBnXkFtZTcwMDI4OTY0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,37,tt0889225,movie,,,,,True,,To and from New York
595,Osuofia in London 2,2004,,,72 min,Comedy,Kingsley Ogoro,Kingsley Ogoro,"Charles Angiama, Mara Ashton, Francis Odega, Cynthia Okereke",,English,Nigeria,,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,17,tt0493829,movie,,,,,True,,Osuofia in London 2
596,Brother's Shadow,2006,,29 Apr 2006,91 min,Drama,Todd S. Yellin,"Ivan Krim, Todd S. Yellin","Scott Cohen, Katie Danziger, Lisa Emery","Jake Groden is the black sheep of his family. Ankle deep in fish guts, he serves out his parole in Alaska. Then, after a decade of self-imposed exile, he is forced to return to his Brooklyn family. He soon discovers that his perfe...",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI2NzczNDMxOV5BMl5BanBnXkFtZTcwNjM2ODIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,170,tt0468458,movie,,,,,True,,Brother's Shadow
597,Rabun,2003,,24 Jan 2004,90 min,"Drama, Family, Romance",Yasmin Ahmad,Yasmin Ahmad,"M. Rajoli, Kartina Aziz, Yuhang Ho","An elderly couple move out of the city to a village, but this exuberant and affectionate pair find that life in the countryside isn't all that pleasant after all.",Malay,Malaysia,1 nomination,https://m.media-amazon.com/images/M/MV5BMGFhNzVlNGEtZGY5NC00YTBmLTk1NzAtODU4MjUxYWM1NmZiXkEyXkFqcGdeQXVyMTIwODA5Mjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,96,tt0368190,movie,,,,,True,,Rabun
598,Shameless,2011–2021,TV-MA,09 Jan 2011,46 min,"Comedy, Drama",,"Paul Abbott, John Wells","Emmy Rossum, William H. Macy, Ethan Cutkosky","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",English,United States,Won 4 Primetime Emmys. 17 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BMWUwZjJmYjctYTY3MC00ZTVlLWI1ZGEtNWQzMTFlMTcwMTY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",,8.5,"317,361",tt1586680,series,,,,,True,11.0,Shameless
599,Project X,2012,R,02 Mar 2012,88 min,Comedy,Nima Nourizadeh,"Matt Drake, Michael Bacall","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown","Three high-school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BMTc1MTk0Njg4OF5BMl5BanBnXkFtZTcwODc0ODkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,6.7,"249,857",tt1636826,movie,,"$54,731,865",,,True,,Project X
600,Zero Dark Thirty,2012,R,11 Jan 2013,157 min,"Drama, History, Thriller",Kathryn Bigelow,Mark Boal,"Jessica Chastain, Joel Edgerton, Chris Pratt","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","English, Arabic, Urdu, Pashtu, French","United States, India, Jordan",Won 1 Oscar. 85 wins & 174 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95.0,7.4,"332,998",tt1790885,movie,,"$95,720,716",,,True,,Zero Dark Thirty
601,The Amazing Spider-Man,2012,PG-13,03 Jul 2012,136 min,"Action, Sci-Fi",Marc Webb,"James Vanderbilt, Alvin Sargent, Steve Kloves","Andrew Garfield, Emma Stone, Rhys Ifans","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",English,United States,2 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,6.9,"743,057",tt0948470,movie,,"$262,782,352",,,True,,The Amazing Spider-Man
602,Teenage Mutant Ninja Turtles,2014,PG-13,08 Aug 2014,101 min,"Action, Adventure, Comedy",Jonathan Liebesman,"Josh Appelbaum, André Nemec, Evan Daugherty","Megan Fox, Will Arnett, William Fichtner","When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.","English, Japanese",United States,1 win & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNjUzODQ5MDY5NV5BMl5BanBnXkFtZTgwOTc1NzcyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,5.8,"226,061",tt1291150,movie,,"$191,204,754",,,True,,Teenage Mutant Ninja Turtles
603,The Dark Knight Rises,2012,PG-13,20 Jul 2012,164 min,"Action, Crime, Drama",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Tom Hardy, Anne Hathaway","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","English, Arabic","United States, United Kingdom",Nominated for 1 BAFTA Award45 wins & 103 nominations total,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.0,8.4,"1,942,437",tt1345836,movie,,"$448,149,584",,,True,,The Dark Knight Rises
604,Mission: Impossible - Ghost Protocol,2011,PG-13,21 Dec 2011,132 min,"Action, Adventure, Thriller",Brad Bird,"Bruce Geller, Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","English, Russian, French, Arabic, Swedish","United States, United Arab Emirates, Russia, Canada, Czech Republic, India",5 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.4,"555,260",tt1229238,movie,,"$209,397,903",,,True,,Mission: Impossible - Ghost Protocol
